"Sample","ID","Timestamp","Berlin","Paris","London","Barcelona","Madrid","Rome","Stockholm","Amsterdam","Prague","Budapest","Lisbon","Brussels","Vienna","StPetersburg","Krakow","Riga","Istanbul","Geneva","Athens","Dublin","Purpose1","Purpose2","Purpose3","Purpose4","Purpose5","Purpose_Other","With_Whom_1","With_Whom_2","With_Whom_3","With_Whom_4","With_Whom_5","Number_of_Trips","Avg_Budget","Age","Gender","Nationality","CurrentCity","Occupation","PartnershipStatus","id_unique"
4,17,"12/27/2015 21:57",1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,"",0,1,1,0,0,3,2,23,"Female","German","Berlin","Master student","in a relationship.",106
4,18,"12/28/2015 10:22",1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,"",0,1,0,0,0,3,1,26,"Male","German","Munich","Master student","single",107
4,19,"12/28/2015 16:55",1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,"",1,1,1,0,0,4,2,25,"Female","German","Berlin","Master student","in a relationship.",108
4,20,"12/28/2015 20:38",1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,"",1,1,0,0,0,3,2,22,"Female","German","Regensburg","Bachelor student","in a relationship.",109
4,21,"12/28/2015 23:09",1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,"",0,1,1,0,1,3,2,22,"Female","German","","Employed","in a relationship.",110
4,22,"12/29/2015 15:07",0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,"",0,1,1,0,0,3,3,30,"Male","German","Frontenhausen","Employed","in a relationship.",111
4,23,"2/1/2016 15:24",1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,"",0,0,0,0,1,5,1,23,"Female","Polish","Germany","Master student","single",112
4,24,"10/1/2016 20:40",1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,"",0,0,0,0,1,3,1,24,"Female","German","Berlin","Master student","single",113
5,1,"12/21/2015 19:08",0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,"",1,0,0,0,0,4,4,44,"Female","European","French","Employed","in a relationship.",114
5,2,"12/22/2015 7:42",0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,"",1,1,1,0,1,3,3,61,"Male","British","Rennes les Ba","Self-Employed","in a relationship.",115
